,rank,title,Date
147,8,이태원 클라쓰,2020-04-15
148,9,멜로가 체질,2020-04-15
149,10,하트시그널,2020-04-15
150,1,슬기로운 의사생활,2020-04-16
151,2,"하이바이, 마마!",2020-04-16
152,3,종이의 집,2020-04-16
153,4,하이에나,2020-04-16
154,5,킹덤,2020-04-16
155,6,루갈,2020-04-16
156,7,슬기로운 감빵생활,2020-04-16
157,8,이태원 클라쓰,2020-04-16
158,9,멜로가 체질,2020-04-16
159,10,하트시그널,2020-04-16
160,1,슬기로운 의사생활,2020-04-17
161,2,"하이바이, 마마!",2020-04-17
162,3,종이의 집,2020-04-17
163,4,하이에나,2020-04-17
164,5,슬기로운 감빵생활,2020-04-17
165,6,이태원 클라쓰,2020-04-17
166,7,킹덤,2020-04-17
167,8,루갈,2020-04-17
168,9,멜로가 체질,2020-04-17
169,10,하트시그널,2020-04-17
170,1,슬기로운 의사생활,2020-04-18
171,2,종이의 집,2020-04-18
172,3,"하이바이, 마마!",2020-04-18
173,4,슬기로운 감빵생활,2020-04-18
174,5,킹덤,2020-04-18
175,6,하이에나,2020-04-18
176,7,이태원 클라쓰,2020-04-18
177,8,멜로가 체질,2020-04-18
178,9,신청곡을 불러드립니다 - 사랑의 콜센타,2020-04-18
179,10,루갈,2020-04-18
180,1,슬기로운 의사생활,2020-04-19
181,2,더 킹: 영원의 군주,2020-04-19
182,3,투 핫!,2020-04-19
183,4,"하이바이, 마마!",2020-04-19
184,5,종이의 집,2020-04-19
185,6,킹덤,2020-04-19
186,7,슬기로운 감빵생활,2020-04-19
187,8,이태원 클라쓰,2020-04-19
188,9,하이에나,2020-04-19
189,10,멜로가 체질,2020-04-19
190,1,더 킹: 영원의 군주,2020-04-20
191,2,슬기로운 의사생활,2020-04-20
192,3,"하이바이, 마마!",2020-04-20
193,4,투 핫!,2020-04-20
194,5,루갈,2020-04-20
195,6,종이의 집,2020-04-20
196,7,킹덤,2020-04-20
197,8,슬기로운 감빵생활,2020-04-20
198,9,이태원 클라쓰,2020-04-20
199,10,멜로가 체질,2020-04-20
