,rank,title,broadcast,episode,date,genre,category,DateTime,count
0,1,아내의 맛,TV조선,91,2020-03-31,예능,종편,2020-04-01 09:00:00,1
1,2,아무도 모른다,SBS,10,2020-03-31,드라마,지상파,2020-04-01 09:00:00,1
2,3,365 : 운명을 거스르는 1년,MBC,7-8,2020-03-31,드라마,지상파,2020-04-01 09:00:00,1
3,4,불타는 청춘,SBS,247,2020-03-31,예능,지상파,2020-04-01 09:00:00,1
4,5,미운 우리 새끼,SBS,183,2020-03-29,예능,지상파,2020-04-01 09:00:00,1
5,6,비디오스타,MBC Every1,190,2020-03-31,예능,케이블,2020-04-01 09:00:00,1
6,7,PD 수첩,MBC,1236,2020-03-31,시사교양,지상파,2020-04-01 09:00:00,1
7,8,런닝맨,SBS,496,2020-03-29,예능,지상파,2020-04-01 09:00:00,1
8,9,동상이몽2_너는 내 운명,SBS,139,2020-03-30,예능,지상파,2020-04-01 09:00:00,1
9,10,슈퍼맨이 돌아왔다,KBS 2TV,323,2020-03-29,예능,지상파,2020-04-01 09:00:00,1
10,11,나 혼자 산다,MBC,339,2020-03-27,예능,지상파,2020-04-01 09:00:00,1
11,12,무엇이든 물어보살,KBS JOY,54,2020-03-30,예능,케이블,2020-04-01 09:00:00,1
12,13,천일야사,채널A,171,2020-03-31,시사교양,종편,2020-04-01 09:00:00,1
13,14,나쁜사랑,MBC,87,2020-04-01,드라마,지상파,2020-04-01 09:00:00,1
14,15,꽃길만 걸어요,KBS 1TV,111,2020-03-31,드라마,지상파,2020-04-01 09:00:00,1
15,16,개는 훌륭하다,KBS 2TV,21,2020-03-30,예능,지상파,2020-04-01 09:00:00,1
16,17,그것이 알고싶다,SBS,1208,2020-03-28,시사교양,지상파,2020-04-01 09:00:00,1
17,18,부러우면 지는거다,MBC,4,2020-03-30,예능,지상파,2020-04-01 09:00:00,1
18,19,하이에나,SBS,12,2020-03-28,드라마,지상파,2020-04-01 09:00:00,1
19,20,아무도 모른다[19세],SBS,10,2020-03-31,드라마,지상파,2020-04-01 09:00:00,1
20,21,전지적 참견시점,MBC,97,2020-03-28,예능,지상파,2020-04-01 09:00:00,1
21,22,맛 좀 보실래요,SBS,101,2020-03-31,드라마,지상파,2020-04-01 09:00:00,1
22,23,놀면 뭐하니?,MBC,35,2020-03-28,예능,지상파,2020-04-01 09:00:00,1
23,24,한 번 다녀왔습니다,KBS 2TV,3-4,2020-03-29,드라마,지상파,2020-04-01 09:00:00,1
24,25,1박2일 시즌4,KBS 2TV,17,2020-03-29,예능,지상파,2020-04-01 09:00:00,1
25,26,구해줘! 홈즈,MBC,51,2020-03-29,예능,지상파,2020-04-01 09:00:00,1
26,27,일일드라마 위험한 약속,KBS 2TV,2,2020-03-31,드라마,지상파,2020-04-01 09:00:00,1
27,28,옥탑방의 문제아들,KBS 2TV,71,2020-03-30,예능,지상파,2020-04-01 09:00:00,1
28,29,사장님 귀는 당나귀 귀,KBS 2TV,49,2020-03-29,예능,지상파,2020-04-01 09:00:00,1
29,30,백종원의 골목식당,SBS,111,2020-03-25,예능,지상파,2020-04-01 09:00:00,1
30,31,미스터트롯의 맛,TV CHOSUN,2,2020-03-26,예능,종편,2020-04-01 09:00:00,1
31,32,맛있는 녀석들,iHQ,266,2020-03-24,예능,케이블,2020-04-01 09:00:00,1
32,33,연애의 참견3,KBS JOY,12,2020-03-24,예능,케이블,2020-04-01 09:00:00,1
33,34,라디오스타,MBC,662,2020-03-25,예능,지상파,2020-04-01 09:00:00,1
34,35,그 남자의 기억법,MBC,5-6,2020-03-25,드라마,지상파,2020-04-01 09:00:00,1
35,36,역사저널 그날,KBS 1TV,258,2020-03-31,시사교양,지상파,2020-04-01 09:00:00,1
36,37,휴먼다큐 사람이 좋다,MBC,357,2020-03-31,시사교양,지상파,2020-04-01 09:00:00,1
37,38,판도라,MBN,163,2020-03-30,시사교양,종편,2020-04-01 09:00:00,1
38,39,낭만닥터 김사부 2,SBS,16,2020-02-25,드라마,지상파,2020-04-01 09:00:00,1
39,40,"진짜 농구, 핸섬 타이거즈",SBS,12,2020-03-27,예능,지상파,2020-04-01 09:00:00,1
40,41,끼리끼리,MBC,10,2020-03-29,예능,지상파,2020-04-01 09:00:00,1
41,42,휴먼다큐 사노라면,MBN,424,2020-03-31,시사교양,종편,2020-04-01 09:00:00,1
42,43,어서와,KBS 2TV,1-2,2020-03-25,드라마,지상파,2020-04-01 09:00:00,1
43,44,도시어부2: 대항해시대,채널A,15,2020-03-26,예능,종편,2020-04-01 09:00:00,1
44,45,맛남의 광장,SBS,17,2020-03-26,예능,지상파,2020-04-01 09:00:00,1
45,46,오지GO,MBN,6,2020-03-30,예능,종편,2020-04-01 09:00:00,1
46,47,궁금한 이야기 Y,SBS,489,2020-03-27,시사교양,지상파,2020-04-01 09:00:00,1
47,48,MBC뉴스데스크,MBC,20200331,2020-03-31,뉴스,지상파,2020-04-01 09:00:00,1
48,49,기막힌 이야기 실제상황,MBN,384,2020-03-29,시사교양,종편,2020-04-01 09:00:00,1
49,50,선을 넘는 녀석들-리턴즈,MBC,31,2020-03-29,예능,지상파,2020-04-01 09:00:00,1
50,51,날아라 슛돌이 뉴 비기닝,KBS 2TV,13,2020-03-31,예능,지상파,2020-04-01 09:00:00,1
51,52,하트시그널 시즌3,채널A,1,2020-03-25,예능,종편,2020-04-01 09:00:00,1
52,53,풍문으로 들었쇼,채널A,233,2020-03-30,예능,종편,2020-04-01 09:00:00,1
53,54,미스터트롯,TV CHOSUN,11,2020-03-12,예능,종편,2020-04-01 09:00:00,1
54,55,KBS 뉴스9,KBS 1TV,,2020-03-31,뉴스,지상파,2020-04-01 09:00:00,1
55,56,어쩌다 가족 ,TV CHOSUN,1,2020-03-29,드라마,종편,2020-04-01 09:00:00,1
56,57,유별나! 문셰프,채널A,1,2020-03-27,드라마,종편,2020-04-01 09:00:00,1
57,58,SBS 8뉴스,SBS,,2020-03-31,뉴스,지상파,2020-04-01 09:00:00,1
58,59,집사부일체,SBS,113,2020-03-29,예능,지상파,2020-04-01 09:00:00,1
59,60,김병만의 정글의 법칙,SBS,407,2020-03-28,예능,지상파,2020-04-01 09:00:00,1
60,61,TV 동물농장,SBS,962,2020-03-29,예능,지상파,2020-04-01 09:00:00,1
61,62,신상 출시 편스토랑,KBS 2TV,22,2020-03-27,예능,지상파,2020-04-01 09:00:00,1
62,63,스토브리그,SBS,16,2020-02-14,드라마,지상파,2020-04-01 09:00:00,1
63,64,수상한 파트너,SBS,1,2017-05-10,드라마,지상파,2020-04-01 09:00:00,1
64,65,실화탐사대,MBC,74,2020-03-25,시사교양,지상파,2020-04-01 09:00:00,1
65,66,트롯신이 떴다,SBS,4,2020-03-25,예능,지상파,2020-04-01 09:00:00,1
66,67,살림하는 남자들,KBS 2TV,159,2020-03-25,예능,지상파,2020-04-01 09:00:00,1
67,68,일일드라마 우아한 모녀,KBS 2TV,103,2020-03-27,드라마,지상파,2020-04-01 09:00:00,1
68,69,밥은 먹고 다니냐?,SBS Plus,23,2020-03-30,예능,케이블,2020-04-01 09:00:00,1
69,70,더 라이브,KBS 1TV,98,2020-03-31,시사교양,지상파,2020-04-01 09:00:00,1
70,71,나는 몸신이다,채널A,273,2020-03-31,예능,종편,2020-04-01 09:00:00,1
71,72,질투의 화신,SBS,1,2016-08-24,드라마,지상파,2020-04-01 09:00:00,1
72,73,인간극장,KBS 1TV,4399,2020-03-30,시사교양,지상파,2020-04-01 09:00:00,1
73,74,이제 만나러 갑니다,채널A,432,2020-03-29,예능,종편,2020-04-01 09:00:00,1
74,75,허준,MBC,35 ,2000-03-20,드라마,지상파,2020-04-01 09:00:00,1
75,76,어서와 한국은 처음이지?,MBC Every1,132,2020-03-26,예능,케이블,2020-04-01 09:00:00,1
76,77,강적들,TV CHOSUN,326,2020-03-28,시사교양,종편,2020-04-01 09:00:00,1
77,78,아이콘택트,채널A,33,2020-03-30,예능,종편,2020-04-01 09:00:00,1
78,79,공사창립 특별기획 태양의 후예,KBS 2TV,13,2016-04-06,드라마,지상파,2020-04-01 09:00:00,1
79,80,사랑은 뷰티풀 인생은 원더풀,KBS 2TV,99-100,2020-03-22,드라마,지상파,2020-04-01 09:00:00,1
80,81,이십세기 힛-트쏭,KBS JOY,1,2020-03-27,예능,케이블,2020-04-01 09:00:00,1
81,82,친애하는 판사님께,SBS,12,2018-09-06,드라마,지상파,2020-04-01 09:00:00,1
82,83,"쌈, 마이웨이",KBS 2TV,12,2017-06-27,드라마,지상파,2020-04-01 09:00:00,1
83,84,낭만닥터 김사부 ,SBS,20,2017-01-16,드라마,지상파,2020-04-01 09:00:00,1
84,85,모던 패밀리,MBN,56,2020-03-27,예능,종편,2020-04-01 09:00:00,1
85,86,신비한 TV 서프라이즈,MBC,909,2020-03-29,예능,지상파,2020-04-01 09:00:00,1
86,87,하트시그널 시즌2,채널A,5,2018-04-13,예능,종편,2020-04-01 09:00:00,1
87,88,아빠본색,채널A,193,2020-03-29,예능,종편,2020-04-01 09:00:00,1
88,89,무한도전,MBC,392,2014-08-16,예능,지상파,2020-04-01 09:00:00,1
89,90,닥터스,SBS,6,2016-07-05,드라마,지상파,2020-04-01 09:00:00,1
90,91,편애중계,MBC,20,2020-03-27,예능,지상파,2020-04-01 09:00:00,1
91,92,복면가왕,MBC,248,2020-03-29,예능,지상파,2020-04-01 09:00:00,1
92,93,해피 투게더,KBS 2TV,633,2020-03-26,예능,지상파,2020-04-01 09:00:00,1
93,94,이리와 안아줘 ,MBC,1,2018-05-16,드라마,지상파,2020-04-01 09:00:00,1
94,95,개그 콘서트,KBS 2TV,1041,2020-03-28,예능,지상파,2020-04-01 09:00:00,1
95,96,"내딸, 금사월",MBC,50,2016-02-27,드라마,지상파,2020-04-01 09:00:00,1
96,97,동백꽃 필 무렵,KBS 2TV,3-4,2019-09-19,드라마,지상파,2020-04-01 09:00:00,1
97,98,맨땅에 한국말,SBS Plus,6,2020-03-31,예능,케이블,2020-04-01 09:00:00,1
98,99,포레스트,KBS 2TV,29-30,2020-03-18,드라마,지상파,2020-04-01 09:00:00,1
99,100,별에서 온 그대,SBS,1,2013-12-18,드라마,지상파,2020-04-01 09:00:00,1
100,101,아무도 모른다,SBS,10,2020-03-31,드라마,지상파,2020-04-01 09:00:00,2
101,102,365 : 운명을 거스르는 1년,MBC,7-8,2020-03-31,드라마,지상파,2020-04-01 09:00:00,2
102,103,나쁜사랑,MBC,87,2020-04-01,드라마,지상파,2020-04-01 09:00:00,2
103,104,꽃길만 걸어요,KBS 1TV,111,2020-03-31,드라마,지상파,2020-04-01 09:00:00,2
104,105,하이에나,SBS,12,2020-03-28,드라마,지상파,2020-04-01 09:00:00,2
105,106,아무도 모른다[19세],SBS,10,2020-03-31,드라마,지상파,2020-04-01 09:00:00,2
106,107,맛 좀 보실래요,SBS,101,2020-03-31,드라마,지상파,2020-04-01 09:00:00,2
107,108,한 번 다녀왔습니다,KBS 2TV,3-4,2020-03-29,드라마,지상파,2020-04-01 09:00:00,2
108,109,일일드라마 위험한 약속,KBS 2TV,2,2020-03-31,드라마,지상파,2020-04-01 09:00:00,2
109,110,그 남자의 기억법,MBC,5-6,2020-03-25,드라마,지상파,2020-04-01 09:00:00,2
110,111,낭만닥터 김사부 2,SBS,16,2020-02-25,드라마,지상파,2020-04-01 09:00:00,2
111,112,어서와,KBS 2TV,1-2,2020-03-25,드라마,지상파,2020-04-01 09:00:00,2
112,113,어쩌다 가족 ,TV CHOSUN,1,2020-03-29,드라마,종편,2020-04-01 09:00:00,2
113,114,유별나! 문셰프,채널A,1,2020-03-27,드라마,종편,2020-04-01 09:00:00,2
114,115,스토브리그,SBS,16,2020-02-14,드라마,지상파,2020-04-01 09:00:00,2
115,116,수상한 파트너,SBS,1,2017-05-10,드라마,지상파,2020-04-01 09:00:00,2
116,117,일일드라마 우아한 모녀,KBS 2TV,103,2020-03-27,드라마,지상파,2020-04-01 09:00:00,2
117,118,질투의 화신,SBS,1,2016-08-24,드라마,지상파,2020-04-01 09:00:00,2
118,119,허준,MBC,35 ,2000-03-20,드라마,지상파,2020-04-01 09:00:00,2
119,120,공사창립 특별기획 태양의 후예,KBS 2TV,13,2016-04-06,드라마,지상파,2020-04-01 09:00:00,2
120,121,사랑은 뷰티풀 인생은 원더풀,KBS 2TV,99-100,2020-03-22,드라마,지상파,2020-04-01 09:00:00,2
121,122,친애하는 판사님께,SBS,12,2018-09-06,드라마,지상파,2020-04-01 09:00:00,2
122,123,"쌈, 마이웨이",KBS 2TV,12,2017-06-27,드라마,지상파,2020-04-01 09:00:00,2
123,124,낭만닥터 김사부 ,SBS,20,2017-01-16,드라마,지상파,2020-04-01 09:00:00,2
124,125,닥터스,SBS,6,2016-07-05,드라마,지상파,2020-04-01 09:00:00,2
125,126,이리와 안아줘 ,MBC,1,2018-05-16,드라마,지상파,2020-04-01 09:00:00,2
126,127,"내딸, 금사월",MBC,50,2016-02-27,드라마,지상파,2020-04-01 09:00:00,2
127,128,동백꽃 필 무렵,KBS 2TV,3-4,2019-09-19,드라마,지상파,2020-04-01 09:00:00,2
128,129,포레스트,KBS 2TV,29-30,2020-03-18,드라마,지상파,2020-04-01 09:00:00,2
129,130,별에서 온 그대,SBS,1,2013-12-18,드라마,지상파,2020-04-01 09:00:00,2
130,131,열혈사제,SBS,19,2019-04-19,드라마,지상파,2020-04-01 09:00:00,2
131,132,달의 연인-보보경심 려,SBS,8,2016-09-19,드라마,지상파,2020-04-01 09:00:00,2
132,133,의사요한,SBS,10,2019-08-17,드라마,지상파,2020-04-01 09:00:00,2
133,134,미세스 캅,SBS,1,2015-08-03,드라마,지상파,2020-04-01 09:00:00,2
134,135,역도요정 김복주,MBC,14,2017-01-04,드라마,지상파,2020-04-01 09:00:00,2
135,136,시크릿 가든,SBS,4,2010-11-21,드라마,지상파,2020-04-01 09:00:00,2
136,137,터치,채널A,16,2020-02-22,드라마,종편,2020-04-01 09:00:00,2
137,138,용팔이,SBS,16,2015-09-24,드라마,지상파,2020-04-01 09:00:00,2
138,139,상속자들,SBS,19,2013-12-11,드라마,지상파,2020-04-01 09:00:00,2
139,140,육룡이 나르샤,SBS,8,2015-10-27,드라마,지상파,2020-04-01 09:00:00,2
140,141,금토드라마 고백부부,KBS 2TV,10,2017-11-11,드라마,지상파,2020-04-01 09:00:00,2
141,142,더게임:0시를 향하여,MBC,31-32,2020-03-12,드라마,지상파,2020-04-01 09:00:00,2
142,143,아들과 딸,MBC,1,1992-10-03,드라마,지상파,2020-04-01 09:00:00,2
143,144,황후의 품격,SBS,14,2019-01-03,드라마,지상파,2020-04-01 09:00:00,2
144,145,연애의 발견,KBS 2TV,3,2014-08-25,드라마,지상파,2020-04-01 09:00:00,2
145,146,메디컬 탑팀,MBC,7,2013-10-30,드라마,지상파,2020-04-01 09:00:00,2
146,147,동이,MBC,17,2010-05-17,드라마,지상파,2020-04-01 09:00:00,2
147,148,내 뒤에 테리우스,MBC,5-6,2018-10-03,드라마,지상파,2020-04-01 09:00:00,2
148,149,검법남녀 시즌2,MBC,1-2,2019-06-03,드라마,지상파,2020-04-01 09:00:00,2
149,150,김과장,KBS 2TV,19,2017-03-29,드라마,지상파,2020-04-01 09:00:00,2
150,151,힐러,KBS 2TV,13,2015-01-19,드라마,지상파,2020-04-01 09:00:00,2
151,152,마이더스,SBS,1,2011-02-22,드라마,지상파,2020-04-01 09:00:00,2
152,153,너의 목소리가 들려,SBS,17,2013-07-31,드라마,지상파,2020-04-01 09:00:00,2
153,154,MBN 수목드라마 우아한 가,MBN,16,2019-10-17,드라마,종편,2020-04-01 09:00:00,2
154,155,신사의 품격,SBS,10,2012-06-24,드라마,지상파,2020-04-01 09:00:00,2
155,156,커피프린스 1호점,MBC,6 ,2007-07-17,드라마,지상파,2020-04-01 09:00:00,2
156,157,수목 드라마 닥터 프리즈너,KBS 2TV,31-32,2019-05-15,드라마,지상파,2020-04-01 09:00:00,2
157,158,킬미힐미,MBC,5,2015-01-21,드라마,지상파,2020-04-01 09:00:00,2
158,159,어쩌다 발견한 하루,MBC,15-16,2019-10-24,드라마,지상파,2020-04-01 09:00:00,2
159,160,주군의 태양,SBS,10,2013-09-05,드라마,지상파,2020-04-01 09:00:00,2
160,161,아이가 다섯,KBS 2TV,54,2016-08-21,드라마,지상파,2020-04-01 09:00:00,2
161,162,아버지가 이상해,KBS 2TV,43,2017-07-29,드라마,지상파,2020-04-01 09:00:00,2
162,163,프로듀사,KBS 2TV,7,2015-06-05,드라마,지상파,2020-04-01 09:00:00,2
163,164,화랑,KBS 2TV,2,2016-12-20,드라마,지상파,2020-04-01 09:00:00,2
164,165,그녀는 예뻤다,MBC,13,2015-10-29,드라마,지상파,2020-04-01 09:00:00,2
165,166,푸른 바다의 전설,SBS,15,2017-01-05,드라마,지상파,2020-04-01 09:00:00,2
166,167,"장옥정, 사랑에 살다",SBS,1,2013-04-08,드라마,지상파,2020-04-01 09:00:00,2
167,168,"하이드 지킬, 나",SBS,1,2015-01-21,드라마,지상파,2020-04-01 09:00:00,2
168,169,오로라 공주,MBC,136,2013-12-02,드라마,지상파,2020-04-01 09:00:00,2
169,170,착한남자,KBS 2TV,12,2012-10-18,드라마,지상파,2020-04-01 09:00:00,2
170,171,뿌리깊은 나무,SBS,1,2011-10-05,드라마,지상파,2020-04-01 09:00:00,2
171,172,99억의 여자,KBS 2TV,9-10,2019-12-18,드라마,지상파,2020-04-01 09:00:00,2
172,173,궁,MBC,14,2006-02-23,드라마,지상파,2020-04-01 09:00:00,2
173,174,VIP,SBS,1,2019-10-28,드라마,지상파,2020-04-01 09:00:00,2
174,175,언니는 살아있다,SBS,5,2017-04-29,드라마,지상파,2020-04-01 09:00:00,2
175,176,더킹 투하츠,MBC,10,2012-04-19,드라마,지상파,2020-04-01 09:00:00,2
176,177,상어,KBS 2TV,1,2013-05-27,드라마,지상파,2020-04-01 09:00:00,2
177,178,배가본드,SBS,15,2019-11-22,드라마,지상파,2020-04-01 09:00:00,2
178,179,간택-여인들의 전쟁,TV CHOSUN,2,2019-12-15,드라마,종편,2020-04-01 09:00:00,2
179,180,황금빛 내 인생,KBS 2TV,37,2018-01-13,드라마,지상파,2020-04-01 09:00:00,2
180,181,기황후,MBC,18,2013-12-24,드라마,지상파,2020-04-01 09:00:00,2
181,182,신의,SBS,6,2012-08-28,드라마,지상파,2020-04-01 09:00:00,2
182,183,서른이지만 열일곱입니다,SBS,7,2018-08-13,드라마,지상파,2020-04-01 09:00:00,2
183,184,특별근로감독관 조장풍,MBC,11-12,2019-04-23,드라마,지상파,2020-04-01 09:00:00,2
184,185,제5공화국,MBC,20,2005-06-26,드라마,지상파,2020-04-01 09:00:00,2
185,186,괜찮아 사랑이야,SBS,10,2014-08-21,드라마,지상파,2020-04-01 09:00:00,2
186,187,유령,SBS,17,2012-07-25,드라마,지상파,2020-04-01 09:00:00,2
187,188,마을-아치아라의 비밀,SBS,1,2015-10-07,드라마,지상파,2020-04-01 09:00:00,2
188,189,내 이름은 김삼순,MBC,14 ,2005-07-14,드라마,지상파,2020-04-01 09:00:00,2
189,190,구르미 그린 달빛,KBS 2TV,18,2016-10-18,드라마,지상파,2020-04-01 09:00:00,2
190,191,싸인,SBS,7,2011-01-26,드라마,지상파,2020-04-01 09:00:00,2
191,192,복수가 돌아왔다,SBS,1,2018-12-10,드라마,지상파,2020-04-01 09:00:00,2
192,193,피고인,SBS,13,2017-03-06,드라마,지상파,2020-04-01 09:00:00,2
193,194,7일의 왕비,KBS 2TV,20,2017-08-03,드라마,지상파,2020-04-01 09:00:00,2
194,195,너를 기억해,KBS 2TV,10,2015-07-21,드라마,지상파,2020-04-01 09:00:00,2
195,196,오 마이 비너스,KBS 2TV,8,2015-12-08,드라마,지상파,2020-04-01 09:00:00,2
196,197,주말 드라마 하나뿐인 내편,KBS 2TV,105-106,2019-03-17,드라마,지상파,2020-04-01 09:00:00,2
197,198,해신,KBS 2TV,24,2005-02-17,드라마,지상파,2020-04-01 09:00:00,2
198,199,역적 : 백성을 훔친 도적,MBC,30,2017-05-16,드라마,지상파,2020-04-01 09:00:00,2
199,200,다시 만난 세계,SBS,1,2017-07-19,드라마,지상파,2020-04-01 09:00:00,2
200,201,아내의 맛,TV조선,91,2020-03-31,예능,종편,2020-04-01 09:00:00,3
201,202,불타는 청춘,SBS,247,2020-03-31,예능,지상파,2020-04-01 09:00:00,3
202,203,미운 우리 새끼,SBS,183,2020-03-29,예능,지상파,2020-04-01 09:00:00,3
203,204,비디오스타,MBC Every1,190,2020-03-31,예능,케이블,2020-04-01 09:00:00,3
204,205,런닝맨,SBS,496,2020-03-29,예능,지상파,2020-04-01 09:00:00,3
205,206,동상이몽2_너는 내 운명,SBS,139,2020-03-30,예능,지상파,2020-04-01 09:00:00,3
206,207,슈퍼맨이 돌아왔다,KBS 2TV,323,2020-03-29,예능,지상파,2020-04-01 09:00:00,3
207,208,나 혼자 산다,MBC,339,2020-03-27,예능,지상파,2020-04-01 09:00:00,3
208,209,무엇이든 물어보살,KBS JOY,54,2020-03-30,예능,케이블,2020-04-01 09:00:00,3
209,210,개는 훌륭하다,KBS 2TV,21,2020-03-30,예능,지상파,2020-04-01 09:00:00,3
210,211,부러우면 지는거다,MBC,4,2020-03-30,예능,지상파,2020-04-01 09:00:00,3
211,212,전지적 참견시점,MBC,97,2020-03-28,예능,지상파,2020-04-01 09:00:00,3
212,213,놀면 뭐하니?,MBC,35,2020-03-28,예능,지상파,2020-04-01 09:00:00,3
213,214,1박2일 시즌4,KBS 2TV,17,2020-03-29,예능,지상파,2020-04-01 09:00:00,3
214,215,구해줘! 홈즈,MBC,51,2020-03-29,예능,지상파,2020-04-01 09:00:00,3
215,216,옥탑방의 문제아들,KBS 2TV,71,2020-03-30,예능,지상파,2020-04-01 09:00:00,3
216,217,사장님 귀는 당나귀 귀,KBS 2TV,49,2020-03-29,예능,지상파,2020-04-01 09:00:00,3
217,218,백종원의 골목식당,SBS,111,2020-03-25,예능,지상파,2020-04-01 09:00:00,3
218,219,미스터트롯의 맛,TV CHOSUN,2,2020-03-26,예능,종편,2020-04-01 09:00:00,3
219,220,맛있는 녀석들,iHQ,266,2020-03-24,예능,케이블,2020-04-01 09:00:00,3
220,221,연애의 참견3,KBS JOY,12,2020-03-24,예능,케이블,2020-04-01 09:00:00,3
221,222,라디오스타,MBC,662,2020-03-25,예능,지상파,2020-04-01 09:00:00,3
222,223,"진짜 농구, 핸섬 타이거즈",SBS,12,2020-03-27,예능,지상파,2020-04-01 09:00:00,3
223,224,끼리끼리,MBC,10,2020-03-29,예능,지상파,2020-04-01 09:00:00,3
224,225,도시어부2: 대항해시대,채널A,15,2020-03-26,예능,종편,2020-04-01 09:00:00,3
225,226,맛남의 광장,SBS,17,2020-03-26,예능,지상파,2020-04-01 09:00:00,3
226,227,오지GO,MBN,6,2020-03-30,예능,종편,2020-04-01 09:00:00,3
227,228,선을 넘는 녀석들-리턴즈,MBC,31,2020-03-29,예능,지상파,2020-04-01 09:00:00,3
228,229,날아라 슛돌이 뉴 비기닝,KBS 2TV,13,2020-03-31,예능,지상파,2020-04-01 09:00:00,3
229,230,하트시그널 시즌3,채널A,1,2020-03-25,예능,종편,2020-04-01 09:00:00,3
230,231,풍문으로 들었쇼,채널A,233,2020-03-30,예능,종편,2020-04-01 09:00:00,3
231,232,미스터트롯,TV CHOSUN,11,2020-03-12,예능,종편,2020-04-01 09:00:00,3
232,233,집사부일체,SBS,113,2020-03-29,예능,지상파,2020-04-01 09:00:00,3
233,234,김병만의 정글의 법칙,SBS,407,2020-03-28,예능,지상파,2020-04-01 09:00:00,3
234,235,TV 동물농장,SBS,962,2020-03-29,예능,지상파,2020-04-01 09:00:00,3
235,236,신상 출시 편스토랑,KBS 2TV,22,2020-03-27,예능,지상파,2020-04-01 09:00:00,3
236,237,트롯신이 떴다,SBS,4,2020-03-25,예능,지상파,2020-04-01 09:00:00,3
237,238,살림하는 남자들,KBS 2TV,159,2020-03-25,예능,지상파,2020-04-01 09:00:00,3
238,239,밥은 먹고 다니냐?,SBS Plus,23,2020-03-30,예능,케이블,2020-04-01 09:00:00,3
239,240,나는 몸신이다,채널A,273,2020-03-31,예능,종편,2020-04-01 09:00:00,3
240,241,이제 만나러 갑니다,채널A,432,2020-03-29,예능,종편,2020-04-01 09:00:00,3
241,242,어서와 한국은 처음이지?,MBC Every1,132,2020-03-26,예능,케이블,2020-04-01 09:00:00,3
242,243,아이콘택트,채널A,33,2020-03-30,예능,종편,2020-04-01 09:00:00,3
243,244,이십세기 힛-트쏭,KBS JOY,1,2020-03-27,예능,케이블,2020-04-01 09:00:00,3
244,245,모던 패밀리,MBN,56,2020-03-27,예능,종편,2020-04-01 09:00:00,3
245,246,신비한 TV 서프라이즈,MBC,909,2020-03-29,예능,지상파,2020-04-01 09:00:00,3
246,247,하트시그널 시즌2,채널A,5,2018-04-13,예능,종편,2020-04-01 09:00:00,3
247,248,아빠본색,채널A,193,2020-03-29,예능,종편,2020-04-01 09:00:00,3
248,249,무한도전,MBC,392,2014-08-16,예능,지상파,2020-04-01 09:00:00,3
249,250,편애중계,MBC,20,2020-03-27,예능,지상파,2020-04-01 09:00:00,3
250,251,복면가왕,MBC,248,2020-03-29,예능,지상파,2020-04-01 09:00:00,3
251,252,해피 투게더,KBS 2TV,633,2020-03-26,예능,지상파,2020-04-01 09:00:00,3
252,253,개그 콘서트,KBS 2TV,1041,2020-03-28,예능,지상파,2020-04-01 09:00:00,3
253,254,맨땅에 한국말,SBS Plus,6,2020-03-31,예능,케이블,2020-04-01 09:00:00,3
254,255,미스트롯,TV CHOSUN,3,2019-03-14,예능,종편,2020-04-01 09:00:00,3
255,256,얼마예요?,TV CHOSUN,131,2020-03-30,예능,종편,2020-04-01 09:00:00,3
256,257,친한 예능,MBN,11,2020-03-28,예능,종편,2020-04-01 09:00:00,3
257,258,배철수 잼(Jam),MBC,8,2020-03-30,예능,지상파,2020-04-01 09:00:00,3
258,259,불후의 명곡 전설을 노래하다,KBS 2TV,448,2020-03-28,예능,지상파,2020-04-01 09:00:00,3
259,260,속풀이쇼 동치미,MBN,385,2020-03-28,예능,종편,2020-04-01 09:00:00,3
260,261,라스트싱어,MBN,1,2020-03-19,예능,종편,2020-04-01 09:00:00,3
261,262,<무한도전 스페셜> 무한상사 모음,MBC,6,2013-04-27,예능,지상파,2020-04-01 09:00:00,3
262,263,모란봉 클럽,TV CHOSUN,232,2020-03-29,예능,종편,2020-04-01 09:00:00,3
263,264,자연스럽게,MBN,34,2020-03-28,예능,종편,2020-04-01 09:00:00,3
264,265,1박2일 시즌1,KBS 2TV,125,2010-01-10,예능,지상파,2020-04-01 09:00:00,3
265,266,유희열의 스케치북,KBS 2TV,483,2020-03-20,예능,지상파,2020-04-01 09:00:00,3
266,267,출발! 비디오 여행,MBC,1325,2020-03-29,예능,지상파,2020-04-01 09:00:00,3
267,268,우리 다시 사랑할 수 있을까 시즌2,MBN,3,2020-03-25,예능,종편,2020-04-01 09:00:00,3
268,269,대화의 희열,KBS 2TV,5,2018-10-06,예능,지상파,2020-04-01 09:00:00,3
269,270,거침없이 하이킥,MBC,6 ,2006-11-13,예능,지상파,2020-04-01 09:00:00,3
270,271,공부가 머니?,MBC,21,2020-03-27,예능,지상파,2020-04-01 09:00:00,3
271,272,나는 트로트 가수다,MBC Every1,8,2020-03-25,예능,케이블,2020-04-01 09:00:00,3
272,273,미추리 8-1000,SBS,1,2018-11-16,예능,지상파,2020-04-01 09:00:00,3
273,274,지붕 뚫고 하이킥,MBC,58,2009-12-01,예능,지상파,2020-04-01 09:00:00,3
274,275,연애의 참견,KBS JOY,16,2018-05-05,예능,케이블,2020-04-01 09:00:00,3
